GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1600000US3254600,3254600,"Paradise CDP, Nevada",242013,13183
1600000US3260600,3260600,"Reno city, Nevada",245251,44
1600000US3268400,3268400,"Sparks city, Nevada",98346,35
1600000US3268585,3268585,"Spring Valley CDP, Nevada",205933,10653
1600000US3271400,3271400,"Sunrise Manor CDP, Nevada",193357,10355
1600000US3345140,3345140,"Manchester city, New Hampshire",110499,36
1600000US3350260,3350260,"Nashua city, New Hampshire",87889,30
1600000US3403580,3403580,"Bayonne city, New Jersey",66224,53
1600000US3410000,3410000,"Camden city, New Jersey",74417,30
1600000US3413690,3413690,"Clifton city, New Jersey",85847,31
1600000US3419390,3419390,"East Orange city, New Jersey",64797,31
1600000US3421000,3421000,"Elizabeth city, New Jersey",128638,30
1600000US3436000,3436000,"Jersey City city, New Jersey",264161,48
1600000US3451000,3451000,"Newark city, New Jersey",281770,38
1600000US3456550,3456550,"Passaic city, New Jersey",70646,45
1600000US3457000,3457000,"Paterson city, New Jersey",147011,39
1600000US3473110,3473110,"Toms River CDP, New Jersey",88283,942
1600000US3474000,3474000,"Trenton city, New Jersey",84065,36
1600000US3474630,3474630,"Union City city, New Jersey",69298,28
1600000US3502000,3502000,"Albuquerque city, New Mexico",559270,40
1600000US3539380,3539380,"Las Cruces city, New Mexico",101760,28
1600000US3563460,3563460,"Rio Rancho city, New Mexico",96022,27
1600000US3570500,3570500,"Santa Fe city, New Mexico",83881,35
1600000US3601000,3601000,"Albany city, New York",98106,53
1600000US3608026,3608026,"Brentwood CDP, New York",62132,6543
1600000US3611000,3611000,"Buffalo city, New York",256908,38
1600000US3615000,3615000,"Cheektowaga CDP, New York",73199,2789
1600000US3649121,3649121,"Mount Vernon city, New York",68348,29
1600000US3650617,3650617,"New Rochelle city, New York",79558,29
1600000US3651000,3651000,"New York city, New York",8537673,*****
1600000US3663000,3663000,"Rochester city, New York",208886,36
1600000US3665508,3665508,"Schenectady city, New York",64907,35
1600000US3673000,3673000,"Syracuse city, New York",143378,31
1600000US3684000,3684000,"Yonkers city, New York",200792,61
1600000US3702140,3702140,"Asheville city, North Carolina",89098,76
1600000US3710740,3710740,"Cary town, North Carolina",164007,921
1600000US3712000,3712000,"Charlotte city, North Carolina",842029,96
1600000US3714100,3714100,"Concord city, North Carolina",89895,32
1600000US3719000,3719000,"Durham city, North Carolina",262989,23
1600000US3722920,3722920,"Fayetteville city, North Carolina",204777,68
1600000US3725580,3725580,"Gastonia city, North Carolina",75537,31
1600000US3728000,3728000,"Greensboro city, North Carolina",287019,53
1600000US3728080,3728080,"Greenville city, North Carolina",91500,34
1600000US3731400,3731400,"High Point city, North Carolina",115299,3691
1600000US3734200,3734200,"Jacksonville city, North Carolina",67795,45
1600000US3755000,3755000,"Raleigh city, North Carolina",458862,405
1600000US3774440,3774440,"Wilmington city, North Carolina",117545,71
1600000US3775000,3775000,"Winston-Salem city, North Carolina",242200,43
1600000US3807200,3807200,"Bismarck city, North Dakota",68780,2762
1600000US3825700,3825700,"Fargo city, North Dakota",120235,2348
1600000US3901000,3901000,"Akron city, Ohio",197634,29
1600000US3912000,3912000,"Canton city, Ohio",71329,34
1600000US3915000,3915000,"Cincinnati city, Ohio",298802,35
1600000US3916000,3916000,"Cleveland city, Ohio",385810,45
1600000US3918000,3918000,"Columbus city, Ohio",862643,3517
1600000US3921000,3921000,"Dayton city, Ohio",140478,53
1600000US3944856,3944856,"Lorain city, Ohio",63736,32
